num_elements,num_buckets,approx_ops_base_2,approx_ops_base_e
60000,310000,316054.64865028684,312629.0977791915
60000,320000,325858.8775637404,322536.3521008437
60000,330000,335675.3058320872,332449.7899662295
60000,340000,345502.8324434416,342368.8222982968
60000,350000,355340.48451893457,352292.9316726711
60000,360000,365187.3993011211,362221.6618839144
60000,370000,375042.80887983,372154.6090644183
60000,380000,384906.0279006784,382091.41480516
60000,390000,394776.4424592439,392031.7596600408
60000,400000,404653.50118009635,401975.35816043
60000,410000,414536.70736419834,411921.95434318425
60000,420000,424425.61267425836,421871.31834189175
60000,430000,434319.8110456313,431823.24281762046
60000,440000,444218.9341305424,441777.5405810573
60000,450000,454122.64679799613,451734.04199369624
60000,460000,464030.6437025114,461692.5931931617
60000,470000,473942.64575436653,471653.054016105
60000,480000,483858.3976142813,481615.29676645575
60000,490000,493777.66526433703,491579.2049084043
60000,500000,503700.2336186368,501544.67167036276
60000,510000,513625.9046918735,511511.5990896196
60000,520000,523554.496023501,521479.89721510105
60000,530000,533485.8394438791,531449.4835643918
60000,540000,543419.7788825955,541420.2815537096
60000,550000,553356.1702504172,551392.2209255231
60000,560000,563294.8797884233,561365.2365962857
60000,570000,573235.7831253546,571339.2681532899
60000,580000,583178.7649591868,581314.2599349526
60000,590000,593123.7177268256,591290.1600597765
60000,600000,603070.5410354272,601266.9201805221
60000,610000,613019.1413119092,611244.4954248746
60000,620000,622969.4310744175,621222.8439320119
60000,630000,632921.328558502,631201.9267185846
60000,640000,642874.7570714359,641181.707250231
60000,650000,652829.6447890033,651162.1514367592
60000,660000,662785.9242431927,661143.2272993162
60000,670000,672743.5322623894,671124.9050756644
60000,680000,682702.4091608649,681107.1565598678
60000,690000,692662.4988177902,691089.955318633
60000,700000,702623.7485204986,701073.2766595909
60000,710000,712586.1084792804,711057.0972623408
60000,720000,722549.5317171853,721041.3951738654
60000,730000,732513.9737416074,731026.1495778044
60000,740000,742479.3928358154,741011.3411741576
60000,750000,752445.7490803035,750996.9512850009
60000,760000,762413.0051413407,760982.9627180898
60000,770000,772381.1253789222,770969.3589448729
60000,780000,782350.0760119198,780956.124331926
60000,790000,792319.8250858602,790943.2441673785
60000,800000,802290.3421971893,800930.7044413348
60000,810000,812261.5984638946,810918.4918682656
60000,820000,822233.5666066365,820906.5940161034
60000,830000,832206.2203850115,830894.9987864943
60000,840000,842179.5348701375,840883.6947297147
60000,850000,852153.4867505865,850872.6713872664
60000,860000,862128.0531445977,860861.9181421621
60000,870000,872103.2126675749,870851.4253180817
60000,880000,882078.945118187,880841.1838968649
60000,890000,892055.2305311887,890831.1846020124
60000,900000,902032.0504003168,900821.4191462384
60000,910000,912009.3869604315,910811.8795407002
60000,920000,921987.2230064122,920802.5579373941
60000,930000,931965.5422711637,930793.4470290332
60000,940000,941944.3290576723,940784.539702382
60000,950000,951923.5685488947,950775.8293669734
60000,960000,961903.2463665381,960767.3095329434
60000,970000,971883.3485947982,970758.9738520335
60000,980000,981863.8625279943,980750.8168806123
60000,990000,991844.7749394171,990742.8323650779
60000,1000000,1001826.0743637857,1000735.0155365091
70000,10000,204011.21954892416,141432.18084137831
70000,20000,144778.6034388289,101186.79394109482
70000,30000,119575.95725094777,85859.30351832238
70000,40000,108824.12789696673,81296.6351303007
70000,50000,105412.6613183063,82146.74463982128
70000,60000,106145.28643055148,85996.4411725988
70000,70000,109409.73336075545,91640.92632916181
70000,80000,114318.78236951579,98427.04159103522
70000,90000,120349.36810370568,105976.01487698495
70000,100000,127175.47441822378,114055.69962539975
70000,110000,134584.4161017351,122517.1364264103
70000,120000,142432.07153599834,131260.99460128223
70000,130000,150617.60069147023,140218.83962231243
70000,140000,159068.49098849006,149342.18433929692
70000,150000,167731.35534469064,158595.831848125
70000,160000,176566.07190633574,167953.68556830945
70000,170000,185541.9395191557,177396.0322443988
70000,180000,194635.0878947657,186907.732138394
70000,190000,203826.6923904973,196476.98516739413
70000,200000,213101.7171823392,206094.47136381743
70000,210000,222448.01452009747,215752.74131935323
70000,220000,231855.66742839693,225445.77565268017
70000,230000,241316.50336425318,235168.66227898787
70000,240000,250823.72930691444,244917.35656459047
70000,250000,260371.6539137341,254688.50021599844
70000,260000,269955.4740911877,264479.28344822006
70000,270000,279571.1095158471,274287.3391604649
70000,280000,289215.0717480062,284110.6595881124
70000,290000,298884.3616564963,293947.53187619755
